word,frequency,cap_share
earnings,54,0.04
stocks,41,0.25
jobs,41,0.05
billion,39,0.0
markets,37,0.06
investors,34,0.06
rates,33,0.0
yen,28,0.08
prices,27,0.0
data,26,0.0
central,23,0.09
expectations,21,0.0
estimates,21,0.0
reports,19,0.0
second,18,0.0
million,18,0.0
posts,17,0.0
forecasts,17,0.0
talks,17,0.0
lifts,17,0.0
expected,14,0.0
traders,13,0.0
chip,12,0.0
ahead,12,0.17
trading,12,0.55
hits,12,0.0
sources,12,0.0
costs,11,0.0
holds,11,0.0
federal,10,0.44
shows,10,0.0
plans,10,0.0
results,10,0.0
three,9,0.22
key,9,0.0
term,9,0.0
decision,9,0.0
streaming,9,0.0
climbs,9,0.0
closes,9,0.0
analysts,8,0.0
signals,8,0.0
long,8,0.0
five,8,0.25
ever,8,0.0
services,8,0.0
payrolls,7,0.0
latest,7,0.0
hedge,7,0.0
according,7,0.0
traffic,7,0.0
faces,7,0.0
hikes,7,0.0
driven,7,0.0
meeting,7,0.0
third,7,0.0
truck,7,0.0
firms,7,0.0
returns,7,0.0
weekly,7,0.0
slows,7,0.0
maker,6,0.0
chain,6,0.0
told,6,0.0
yields,6,0.0
wants,6,0.0
bigger,6,0.0
survey,6,0.0
tariffs,6,0.0
days,6,0.14
highs,6,0.0
bets,6,0.0
advertising,6,0.0
sold,6,0.0
options,6,0.5
bonds,6,0.0
dents,6,0.0
administration,6,0.0
decade,6,0.0
poll,6,0.0
saw,5,0.0
workers,5,0.0
gas,5,0.25
platform,5,0.0
chief,5,0.0
across,5,0.0
airlines,5,0.4
finds,5,0.0
trillion,5,0.0
continues,5,0.0
calls,5,0.0
concerns,5,0.0
closing,5,0.0
paying,5,0.0
freight,5,0.4
signs,5,0.0
came,5,0.0
leaves,5,0.0
historic,5,0.0
healthcare,5,0.0
odds,5,0.0
four,5,0.0
even,5,0.0
margin,5,0.0
months,5,0.0
salad,5,0.5
fiscal,5,0.0
raises,5,0.0
travel,5,0.0
insurance,5,0.0
linked,5,0.0
fourth,5,0.0
software,4,0.0
economists,4,0.0
performance,4,0.0
major,4,0.0
infrastructure,4,0.0
users,4,0.0
shopping,4,0.0
soars,4,0.0
called,4,0.0
equity,4,0.0
models,4,0.0
current,4,0.0
added,4,0.0
banks,4,0.25
exchange,4,0.25
behind,4,0.0
times,4,0.0
needed,4,0.0
consumers,4,0.0
drive,4,0.0
taking,4,0.0
curve,4,0.0
built,4,0.0
race,4,0.0
half,4,0.0
takes,4,0.0
parks,4,0.0
remains,4,0.0
electric,4,0.33
media,4,0.0
states,4,0.2
seven,4,0.0
led,4,0.0
cyclosporiasis,4,0.0
overshadows,4,0.0
ends,4,0.0
starting,4,0.0
rout,4,0.0
