term,valence,source
added,1.0,finvader_extension
ahead,1.0,finvader_extension
behind,-1.0,finvader_extension
bigger,1.0,finvader_extension
climbs,2.0,finvader_extension
concerns,-2.0,finvader_extension
costs,-1.0,finvader_extension
cyclosporiasis,-2.1,finvader_extension
dents,-2.0,finvader_extension
faces,-1.0,finvader_extension
highs,2.0,finvader_extension
hikes,-0.8,finvader_extension
lifts,2.0,finvader_extension
overshadows,-1.9,finvader_extension
raises,1.0,finvader_extension
returns,0.9,finvader_extension
rout,-3.8,finvader_extension
slows,-2.0,finvader_extension
soars,3.1,finvader_extension
tariffs,-2.0,finvader_extension
above,1.5,henry
accomplish,1.5,henry
accomplished,1.5,henry
accomplishes,1.5,henry
accomplishing,1.5,henry
accomplishment,1.5,henry
accomplishments,1.5,henry
achieve,1.5,henry
achieved,1.5,henry
achievement,1.5,henry
achievements,1.5,henry
achieves,1.5,henry
achieving,1.5,henry
beat,1.5,henry
beating,1.5,henry
beats,1.5,henry
below,-1.5,henry
best,1.5,henry
better,1.5,henry
certain,1.5,henry
certainty,1.5,henry
challenge,-1.5,henry
challenged,-1.5,henry
challenges,-1.5,henry
challenging,-1.5,henry
decline,-1.5,henry
declined,-1.5,henry
declines,-1.5,henry
declining,-1.5,henry
decrease,-1.5,henry
decreased,-1.5,henry
decreases,-1.5,henry
decreasing,-1.5,henry
definite,1.5,henry
deliver,1.5,henry
delivered,1.5,henry
delivering,1.5,henry
delivers,1.5,henry
depressed,-1.5,henry
deteriorate,-1.5,henry
deteriorated,-1.5,henry
deteriorates,-1.5,henry
deteriorating,-1.5,henry
difficult,-1.5,henry
difficulty,-1.5,henry
disappoint,-1.5,henry
disappointed,-1.5,henry
disappointing,-1.5,henry
disappointment,-1.5,henry
disappoints,-1.5,henry
down,-1.5,henry
downturn,-1.5,henry
drop,-1.5,henry
dropped,-1.5,henry
dropping,-1.5,henry
drops,-1.5,henry
encouraged,1.5,henry
encouraging,1.5,henry
enjoy,1.5,henry
enjoyed,1.5,henry
enjoying,1.5,henry
enjoys,1.5,henry
exceed,1.5,henry
exceeded,1.5,henry
exceeding,1.5,henry
exceeds,1.5,henry
excellent,1.5,henry
expand,1.5,henry
expanded,1.5,henry
expanding,1.5,henry
expands,1.5,henry
expansion,1.5,henry
fail,-1.5,henry
failing,-1.5,henry
fails,-1.5,henry
failure,-1.5,henry
fall,-1.5,henry
fallen,-1.5,henry
falling,-1.5,henry
falls,-1.5,henry
fell,-1.5,henry
good,1.0,henry
