phrase,frequency
analyst downgrade,4
traders react,4
traders look,4
look like,4
posts profit,4
critical minerals,4
judge scandal,4
debt restructuring,4
liquidation plan,4
network files,4
exits bankruptcy,4
less debt,4
number plans,4
plans million,4
million bankruptcy,4
takes stake,4
prepackaged bankruptcy,4
debt relief,4
data breach,4
fresh cash,4
cut thousands,4
efficiency push,4
artificial general,4
general intelligence,4
cuts jobs,4
jobs offers,4
offers relocations,4
relocations ahead,4
tech layoffs,4
big layoffs,4
housing market,4
forex reserves,4
prices hit,4
deal fade,4
record temperature,4
nuclear reactor,4
high grade,4
grade bond,4
buying momentum,4
data looms,4
buying opportunity,4
hopes dim,4
crude oil,4
stocks tumble,4
mixed ahead,4
stocks slide,4
stocks track,4
chip plant,4
dollar gains,4
gains yen,4
yen weakens,4
jobs loss,4
near seven,4
yield rises,4
tax cut,4
income tax,4
cut costs,4
cost billion,4
despite strong,4
recession fears,4
retail sales,4
electric grid,4
ishares iboxx,4
corporate bond,4
finding solid,4
sellers notch,4
posts quarterly,4
profit surge,4
flash crash,4
stock drop,4
live shopping continues,4
hit record highs,4
near a major,4
top and possible,4
possible a type,4
second quarter earnings,4
first ever annual,4
stock stages best,4
back rate hike,4
ahead inflation data,4
data to test,4
test record setting,4
eases rate hike,4
quarterly profit beat,4
cuts annual revenue,4
annual revenue forecast,4
soar as forecast,4
business not disrupting,4
fall on weak,4
lifts sales growth,4
sales growth forecast,4
lifts profit forecast,4
oil output rises,4
billion in minerals,4
forecast on strong,4
faster than expected,4
departs as oil,4
oil producer posts,4
producer posts best,4
posts best profit,4
ipsos poll finds,4
high as weak,4
jobs data dents,4
data dents rate,4
dents rate hike,4
bank holds rates,4
six year low,4
ready to raise,4
rates if inflation,4
labor market stable,4
high input prices,4
earnings guidance cut,4
jumps in debut,4
second quarter loss,4
billion share sale,4
cuts profit forecast,4
profit warning hits,4
warning hits shares,4
warns on profit,4
cuts profit guidance,4
second quarter profit,4
brown s list,4
weight loss drugs,4
free cash flow,4
billion share buyback,4
run with increase,4
stock is cheap,4
million share buyback,4
near record high,4
data in focus,4
makes first post,4
acquisition with billion,4
deal to buy,4
agrees to delay,4
eyes billion valuation,4
big share unlock,4
money traders react,4
buy the dip,4
number plans million,4
plans million bankruptcy,4
million bankruptcy sale,4
thousands of jobs,4
artificial general intelligence,4
jobs offers relocations,4
offers relocations ahead,4
cut of workforce,4
big tech stocks,4
hits record temperature,4
high grade bond,4
high on buying,4
momentum as inflation,4
inflation data looms,4
deal hopes dim,4
dollar gains yen,4
gains yen weakens,4
weakens as markets,4
ahead of key,4
stock s plunge,4
posts quarterly profit,4
markets soared,3
keeps happening,3
debate intensifies,3
stocks swing,3
swing wildly,3
drone maker,3
within reach,3
key takeaways,3
overtakes wendy,3
falling long,3
term unemployment,3
sanctions bill,3
bill honoring,3
markets take,3
take center,3
center stage,3
quarterly earnings,3
earnings reports,3
proposes killing,3
killing tax,3
tax breaks,3
overseas oil,3
bugs spend,3
spend million,3
million betting,3
yields stall,3
million shares,3
energy drink,3
economy unexpectedly,3
unexpectedly lost,3
lost jobs,3
medical platform,3
platform jumped,3
infrastructure era,3
era arrives,3
agents poised,3
reshape demand,3
theater diplomacy,3
inflated claims,3
billion building,3
demand soars,3
memory prices,3
families call,3
faster overhaul,3
creates economic,3
economic risks,3
gaining ground,3
major advantage,3
subscriber growth,3
jobs numbers,3
job growth,3
extreme drought,3
drought wreaks,3
wreaks havoc,3
supply chains,3
core inflation,3
monetary policy,3
rising oil,3
low cost,3
warning signs,3
hostilities drive,3
rates rethink,3
extremely volatile,3
volatile outlook,3
posts slowest,3
growth target,3
prices rise,3
seekers giving,3
force participation,3
participation rate,3
energy security,3
tumble following,3
following big,3
jobs miss,3
level ever,3
suspending dividend,3
raising capital,3
address inflation,3
contemplate fewer,3
fewer meetings,3
meetings markets,3
markets brace,3
potential volatility,3
volatility ahead,3
fund meltdown,3
warning shot,3
stock portfolio,3
annualized revenue,3
fintech broker,3
broker clear,3
offers investors,3
investors pre,3
private markets,3
fund imploded,3
imploded even,3
tame stock,3
fears weigh,3
cyclospora outbreak,3
beat strong,3
strong guidance,3
strong demand,3
advertising streaming,3
get boost,3
discovery reports,3
reports jump,3
streaming revenue,3
revenue ahead,3
posts first,3
annual net,3
net profit,3
annual profit,3
platforms segment,3
advertising momentum,3
business soars,3
store sales,3
sales slump,3
stock volatile,3
trimming guidance,3
warship cancellation,3
cancellation hits,3
gets billion,3
billion boost,3
shockingly bad,3
bad earnings,3
earnings debut,3
beauty sees,3
sees million,3
million windfall,3
another beat,3
weighs free,3
weak guidance,3
guidance despite,3
easily tops,3
tops quarterly,3
blows past,3
hikes guidance,3
insurance unit,3
unit continues,3
tops earnings,3
streaming offer,3
surge rattles,3
rattles investors,3
massive share,3
unlock looms,3
defends economics,3
prices weigh,3
spending unnerves,3
despite promises,3
quick payoff,3
center sales,3
sales doubled,3
sales guidance,3
expected earnings,3
begins operational,3
delay midsize,3
midsize vehicle,3
raises full,3
guidance remains,3
remains confident,3
thrift store,3
store launches,3
current deal,3
deal expires,3
holds steady,3
shares plummet,3
another key,3
key leadership,3
leadership change,3
fears worsened,3
joint venture,3
fear gauge,3
volatility index,3
momentum stocks,3
gains ahead,3
oil majors,3
report booming,3
social media,3
market cap,3
stocks rally,3
analysts back,3
growth potential,3
well positioned,3
strong returns,3
options traders,3
natural gas,3
bull market,3
analysts suggest,3
steady income,3
three dividend,3
dividend paying,3
sellers load,3
stock crash,3
crash sets,3
unique options,3
options strategy,3
smart way,3
dollar slips,3
lockup expiration,3
target date,3
date funds,3
funds aggressive,3
aggressive enough,3
retirement savings,3
national bank,3
bank cuts,3
cuts interest,3
rate cut,3
claims stay,3
yields drop,3
stock slumps,3
low end,3
reports increase,3
shares slip,3
profit rise,3
misses profit,3
lockup expiry,3
trading session,3
high close,3
come but markets,3
intensifies as software,3
software stocks swing,3
stocks swing wildly,3
three key takeaways,3
nation s second,3
falling long term,3
long term unemployment,3
means for jobseekers,3
spend a lot,3
beat and stock,3
sanctions bill honoring,3
prediction markets take,3
markets take center,3
take center stage,3
round of quarterly,3
quarterly earnings reports,3
proposes killing tax,3
killing tax breaks,3
breaks for overseas,3
overseas oil production,3
bugs spend million,3
spend million betting,3
clear for metal,3
metal as bond,3
bond yields stall,3
economy unexpectedly lost,3
unexpectedly lost jobs,3
medical platform jumped,3
crypto s infrastructure,3
infrastructure era arrives,3
poised to reshape,3
claims of billion,3
billion in savings,3
savings for federal,3
billion as live,3
continues to boom,3
invest billion building,3
building new memory,3
memory chip plants,3
plants as demand,3
controlling families call,3
call for faster,3
overhaul to fend,3
ally that creates,3
creates economic risks,3
governor to intervene,3
merger over electricity,3
spend is paying,3
pricey new tier,3
numbers are due,3
private companies added,3
added just workers,3
blowing up riverbeds,3
extreme drought wreaks,3
drought wreaks havoc,3
rising oil prices,3
plans to keep,3
rethink amid extremely,3
extremely volatile outlook,3
near year high,3
job seekers giving,3
giving up labor,3
labor force participation,3
force participation rate,3
participation rate falls,3
tumble following big,3
highest level ever,3
metal is telling,3
plunges after suspending,3
dividend and raising,3
prepared to act,3
act on rate,3
hike to address,3
contemplate fewer meetings,3
fewer meetings markets,3
meetings markets brace,3
brace for potential,3
potential volatility ahead,3
bets against rally,3
shares are falling,3
fintech broker clear,3
offers investors pre,3
access to billion,3
fund imploded even,3
tame stock market,3
built a billion,3
fund and lost,3
full year outlook,3
outlook as cyclospora,3
cyclospora fears weigh,3
soars on earnings,3
revenue beat strong,3
beat strong guidance,3
guidance for third,3
advertising streaming service,3
discovery reports jump,3
jump in streaming,3
streaming revenue ahead,3
ahead of proposed,3
posts first ever,3
ever annual net,3
annual net profit,3
profit but shares,3
drop as outlook,3
outlook on strength,3
strength of platforms,3
segment and advertising,3
first quarter profit,3
profit and revenue,3
volatile after trimming,3
warship cancellation hits,3
cancellation hits sales,3
hits sales outlook,3
gets billion boost,3
takes a backseat,3
shockingly bad earnings,3
bad earnings debut,3
beauty sees million,3
sees million windfall,3
windfall in tariff,3
refunds as profits,3
target after another,3
