word,mean_valence
craters,-4.0
rout,-3.8
sanctions,-3.0
sinks,-3.0
hacking,-2.5
spooked,-2.5
skids,-2.5
missile,-2.2
tank,-2.2
cyclosporiasis,-2.1
fizzles,-2.0
slides,-2.0
slowest,-2.0
delays,-2.0
retreats,-2.0
concerns,-2.0
dwindles,-2.0
dents,-2.0
cyclospora,-2.0
tariffs,-2.0
slows,-2.0
slowed,-2.0
slips,-2.0
roil,-2.0
overshadows,-1.9
breaks,-1.3
shakes,-1.2
disrupting,-1.1
overstimulated,-1.1
pares,-1.0
softer,-1.0
restructuring,-1.0
departs,-1.0
deepens,-1.0
faced,-1.0
tighter,-1.0
steeper,-1.0
concessions,-1.0
brakes,-1.0
undercuts,-1.0
trim,-1.0
taxes,-1.0
unwinds,-1.0
braces,-1.0
taxed,-1.0
persists,-1.0
fewer,-1.0
intensifies,-1.0
costs,-1.0
drama,-1.0
faces,-1.0
behind,-1.0
selling,-1.0
cools,-1.0
grinds,-1.0
widens,-1.0
refunds,-0.9
speculators,-0.9
swings,-0.9
swarm,-0.9
hiked,-0.8
hikes,-0.8
intervenes,-0.6
mixed,-0.6
stirs,-0.5
rebuilds,0.6
adding,0.7
fuels,0.7
renews,0.7
buildout,0.7
promotions,0.8
backstop,0.9
returns,0.9
bigger,1.0
heats,1.0
bookings,1.0
reaffirms,1.0
spikes,1.0
pact,1.0
savings,1.0
cheapest,1.0
unveils,1.0
ahead,1.0
clearer,1.0
discovery,1.0
elite,1.0
raises,1.0
biggest,1.0
added,1.0
hotter,1.0
ramping,1.0
deals,1.0
restarts,1.0
spurs,1.0
upsizing,1.0
merger,1.0
buys,1.0
openings,1.0
diplomacy,1.0
investments,1.0
hires,1.0
buying,1.0
invests,1.0
pickup,1.0
upsize,1.0
threefold,1.9
lifted,2.0
buybacks,2.0
lifts,2.0
sizzles,2.0
accelerates,2.0
highs,2.0
climbs,2.0
inflows,2.0
bounces,2.0
rallies,3.0
jumps,3.0
jumped,3.0
doubles,3.0
soars,3.1
booming,3.4
surges,3.8
soaring,3.9
