word,round,agent_01,agent_02,agent_03,agent_04,agent_05,agent_06,agent_07,agent_08,agent_09,agent_10,mean,std,n_nonzero,pass
earnings,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stocks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
jobs,1,1,1,0,0,0,1,0,0,0,0,0.3,0.483,3,False
billion,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
markets,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
investors,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
rates,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
yen,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
prices,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
data,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
central,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
expectations,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
estimates,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
reports,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
second,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
million,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
posts,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
forecasts,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
talks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
lifts,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
expected,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
traders,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
chip,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
ahead,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
trading,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
hits,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sources,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
costs,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
holds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
federal,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
shows,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
plans,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
results,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
three,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
key,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
term,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
decision,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
streaming,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
climbs,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
closes,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
analysts,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
signals,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
long,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
five,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
ever,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
services,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
payrolls,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
latest,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
hedge,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
according,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
traffic,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
faces,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
hikes,1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-0.8,0.422,8,True
driven,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
meeting,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
third,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
truck,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
firms,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
returns,1,1,1,1,1,0,1,1,1,1,1,0.9,0.316,9,True
weekly,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
slows,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
maker,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
chain,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
told,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
yields,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
wants,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bigger,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
survey,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tariffs,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
days,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
highs,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
bets,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
advertising,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sold,1,0,0,0,0,0,0,-1,0,0,0,-0.1,0.316,1,False
options,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bonds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
dents,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
administration,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
decade,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
poll,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
saw,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
