word,agent_01,agent_02,agent_03,agent_04,agent_05,agent_06,agent_07,agent_08,agent_09,agent_10,mean,std,n_nonzero
earnings,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
stocks,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
jobs,1,1,0,0,0,1,0,0,0,0,0.3,0.483,3
billion,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
markets,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
investors,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
rates,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
yen,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
prices,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
data,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
central,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
expectations,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
estimates,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
reports,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
second,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
million,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
posts,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
forecasts,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
talks,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
lifts,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10
expected,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
traders,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
chip,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ahead,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10
trading,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
hits,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
sources,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
costs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10
holds,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
federal,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
shows,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
plans,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
results,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
three,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
key,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
term,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
decision,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
streaming,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
climbs,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10
closes,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
analysts,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
signals,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
long,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
five,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ever,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
services,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
payrolls,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
