word,frequency
indexes,4
records,4
daily,4
doubles,4
buildout,4
planned,4
steps,4
imports,4
shakes,4
tap,4
projects,4
minister,4
input,4
keeps,3
within,3
mixed,3
system,3
finances,3
made,3
surges,3
breaks,3
heading,3
metal,3
selling,3
founder,3
trying,3
wave,3
points,3
claims,3
found,3
memory,3
watching,3
families,3
auto,3
following,3
buys,3
governor,3
merger,3
coming,3
disrupting,3
chains,3
environment,3
monetary,3
six,3
suppliers,3
slowest,3
decades,3
accelerates,3
reasons,3
cools,3
members,3
soaring,3
mind,3
extending,3
speculators,3
investments,3
offers,3
stakes,3
officials,3
study,3
stance,3
cyclospora,3
discovery,3
proposed,3
prior,3
store,3
sees,3
versus,3
widens,3
pickup,3
start,3
urges,3
together,3
miners,3
away,3
setting,3
going,3
eye,3
tank,3
stages,3
bet,3
biggest,3
float,3
interview,3
stack,3
allies,3
slips,3
palantir,3
priced,3
got,3
funds,3
brother,3
asked,3
minutes,3
futures,3
proposal,3
unveils,3
margins,3
slides,3
ratings,3
pace,3
reserves,2
intensifies,2
names,2
startup,2
diplomacy,2
takeaways,2
means,2
sanctions,2
heads,2
positions,2
projected,2
jumped,2
overnight,2
seeing,2
agents,2
cheapest,2
class,2
executives,2
savings,2
commerce,2
valuation,2
film,2
macroeconomic,2
brands,2
though,2
working,2
chips,2
virginia,2
tier,2
driving,2
numbers,2
slowed,2
levels,2
adding,2
measures,2
inventories,2
horizon,2
partners,2
used,2
family,2
soccer,2
tournament,2
broader,2
brief,2
annually,2
staying,2
movies,2
video,2
defining,2
mulls,2
politics,2
air,2
conditioners,2
slightly,2
fewer,2
related,2
copper,2
jumps,2
positioned,2
majority,2
voted,2
meetings,2
drugs,2
employers,2
dollars,2
compliance,2
diesel,2
started,2
tourism,2
front,2
pre,2
startups,2
earlier,2
joined,2
experts,2
ongoing,2
segment,2
platforms,2
conglomerate,2
refunds,2
another,2
making,2
sinks,2
economics,2
updated,2
bell,2
elite,2
flyers,2
tool,2
items,2
players,2
league,2
rights,2
billionaires,2
ties,2
nations,2
something,2
eight,2
majors,2
booming,2
social,2
capitalization,2
netflix,2
trader,2
taxed,2
sets,2
sellers,2
representing,2
publicly,2
tradable,2
places,2
showing,2
lockup,2
often,2
father,2
dial,2
views,2
dwindles,2
oman,2
bounces,2
getting,2
hotter,2
trim,2
financials,2
prompt,2
spikes,2
ants,2
swarm,2
homecoming,2
multi,2
flowing,2
ramping,2
rebuilds,2
lesson,2
scratching,2
deals,2
fly,2
wings,2
potentially,2
insurers,2
taxes,2
spurs,2
swings,2
robotaxi,2
powers,2
figma,2
optical,2
module,2
makers,2
stirs,2
spooked,2
benchmarks,2
kenya,2
africa,2
brokerages,2
coverage,2
tracker,2
pares,2
vessels,2
overstimulated,2
braces,2
leases,2
fizzles,2
sizzles,2
volumes,2
fertilizer,2
unwinds,2
auction,2
robinhood,2
targets,2
spotify,2
marketing,2
features,2
pharma,2
hires,2
rallies,2
buying,2
via,2
euros,2
fuels,2
invests,2
unitree,2
budweiser,2
shareholder,2
inflows,2
undercuts,2
skids,2
reality,2
brakes,2
discussing,2
concessions,2
customer,2
cricket,2
captain,2
shakib,2
houses,2
drones,2
threefold,2
picked,2
offsets,2
shifts,2
container,2
shippers,2
walks,2
steeper,2
revises,2
bbl,2
matches,2
trend,2
deepens,2
inference,2
heats,2
packer,2
arm,2
deliveries,2
confirms,2
unions,2
bhp,2
ore,2
operations,2
mineral,2
bookings,2
promotions,2
fuel,2
banking,2
memo,2
hospital,2
delivery,2
exports,2
refinery,2
minerals,2
sprint,2
races,2
mrna,2
reaffirms,2
soda,2
lettuce,2
forces,2
joining,2
coffee,2
explores,2
agent,2
spent,2
hacking,2
notice,2
missile,2
deploys,2
departs,2
craters,2
restructuring,2
books,2
supertanker,2
pilots,2
union,2
provisional,2
replimune,2
skin,2
renews,2
continuing,2
pushes,2
midterms,2
radar,2
bps,2
ipsos,2
clearer,2
acting,2
hiked,2
repeat,2
backstop,2
faced,2
grinds,2
retreats,2
delays,2
intervenes,2
ghana,2
lifted,2
around,2
communication,2
function,2
midweek,2
thoughts,2
knight,2
shaped,2
pair,2
tighter,2
softer,2
upsizing,2
restarts,2
buybacks,2
stays,2
openings,2
vacancies,2
upsize,2
pact,2
changer,2
seas,2
drama,2
roil,2
indonesia,2
ruled,2
turns,2
speech,2
peers,2
persists,2
officer,2
types,2
loans,2
edges,2
