fund,family,method,ann_return,ann_vol,sharpe,max_drawdown,start_date,end_date,n_days
Equity Equal Weight,equity,ew,0.1321,0.1617,0.6874,-0.2032,2021-01-04,2023-12-29,753
Equity Min Variance,equity,mv,0.0625,0.1275,0.3251,-0.1543,2021-01-04,2023-12-29,753
Equity Max Sharpe,equity,ms,0.1197,0.1847,0.5342,-0.261,2021-01-04,2023-12-29,753
Equity Risk Parity,equity,rp,0.1055,0.1458,0.5796,-0.1853,2021-01-04,2023-12-29,753
Equity Hierarchical Risk Parity,equity,hrp,0.0924,0.1371,0.5204,-0.1694,2021-01-04,2023-12-29,753
Crypto Equal Weight,crypto,ew,0.5073,0.6691,0.7297,-0.816,2020-09-10,2023-12-31,1208
Crypto Min Variance,crypto,mv,0.5625,0.5374,1.0111,-0.7124,2020-09-10,2023-12-31,1208
Crypto Max Sharpe,crypto,ms,0.1417,0.6445,0.1903,-0.8946,2020-09-10,2023-12-31,1208
Crypto Risk Parity,crypto,rp,0.5215,0.6507,0.772,-0.7953,2020-09-10,2023-12-31,1208
Crypto Hierarchical Risk Parity,crypto,hrp,0.5279,0.6295,0.8084,-0.7805,2020-09-10,2023-12-31,1208
Combined Equal Weight,combined,ew,0.1622,0.2125,0.6644,-0.2875,2021-01-04,2023-12-29,753
Combined Min Variance,combined,mv,0.0631,0.1278,0.3294,-0.156,2021-01-04,2023-12-29,753
Combined Max Sharpe,combined,ms,0.2657,0.2489,0.9832,-0.2629,2021-01-04,2023-12-29,753
Combined Risk Parity,combined,rp,0.1436,0.1602,0.7652,-0.1984,2021-01-04,2023-12-29,753
Combined Hierarchical Risk Parity,combined,hrp,0.1039,0.1401,0.5912,-0.1841,2021-01-04,2023-12-29,753
